TimeStep,Elapsed_us,L_Gait_Index,R_Gait_Index,RightHip_pos_deg,RightHip_spd_eRPM,RightHip_spd_mech_RPM,RightHip_current_A,RightHip_temp_C,RightHip_err_code,RightHip_err_text,RightKnee_pos_deg,RightKnee_spd_eRPM,RightKnee_spd_mech_RPM,RightKnee_current_A,RightKnee_temp_C,RightKnee_err_code,RightKnee_err_text,LeftKnee_pos_deg,LeftKnee_spd_eRPM,LeftKnee_spd_mech_RPM,LeftKnee_current_A,LeftKnee_temp_C,LeftKnee_err_code,LeftKnee_err_text,LeftHip_pos_deg,LeftHip_spd_eRPM,LeftHip_spd_mech_RPM,LeftHip_current_A,LeftHip_temp_C,LeftHip_err_code,LeftHip_err_text
505,11351312,7,57,-4.5,-20.0,-0.952,3.01,33,0,OK,18.1,130.0,6.19,-0.2,28,0,OK,-8.6,-180.0,-8.571,2.68,28,0,OK,-17.7,-650.0,-30.952,6.61,33,0,OK
510,11553313,12,62,-4.5,-30.0,-1.429,2.45,33,0,OK,18.1,130.0,6.19,-0.2,28,0,OK,-1.2,570.0,27.143,1.56,28,0,OK,-20.7,-370.0,-17.619,6.43,33,0,OK
515,11755312,17,67,-4.5,-30.0,-1.429,2.45,33,0,OK,18.1,130.0,6.19,-0.2,28,0,OK,-6.2,-2460.0,-117.143,3.46,28,0,OK,-19.0,780.0,37.143,7.43,33,0,OK
520,11957312,22,72,-4.5,-30.0,-1.429,2.45,33,0,OK,18.1,130.0,6.19,-0.2,28,0,OK,-21.8,-2860.0,-136.19,4.9,28,0,OK,-13.9,1020.0,48.571,7.64,33,0,OK
525,12159312,27,77,-4.5,-30.0,-1.429,2.45,33,0,OK,18.1,130.0,6.19,-0.2,28,0,OK,-37.6,-2600.0,-123.81,4.64,28,0,OK,-9.0,810.0,38.571,4.82,33,0,OK
530,12361312,32,82,-4.5,-30.0,-1.429,2.45,33,0,OK,18.1,130.0,6.19,-0.2,28,0,OK,-49.4,-1510.0,-71.905,4.19,28,0,OK,-3.2,1080.0,51.429,-1.79,33,0,OK
535,12563312,37,87,-4.5,-30.0,-1.429,2.45,33,0,OK,18.1,130.0,6.19,-0.2,28,0,OK,-52.8,50.0,2.381,3.51,28,0,OK,4.5,1150.0,54.762,-0.06,33,0,OK
540,12765312,42,92,-4.5,-30.0,-1.429,2.45,33,0,OK,18.1,130.0,6.19,-0.2,28,0,OK,-46.1,1940.0,92.381,-3.49,28,0,OK,11.9,720.0,34.286,-0.37,33,0,OK
545,12967312,47,97,-4.5,-30.0,-1.429,2.45,33,0,OK,18.1,130.0,6.19,-0.2,28,0,OK,-32.1,2100.0,100.0,-2.45,28,0,OK,14.8,20.0,0.952,0.86,33,0,OK
550,13169312,52,2,-4.5,-30.0,-1.429,2.45,33,0,OK,12.9,-360.0,-17.143,1.92,28,0,OK,-20.0,1480.0,70.476,-1.84,28,0,OK,14.8,-20.0,-0.952,0.9,33,0,OK
