TimeStep,Elapsed_us,L_Gait_Index,R_Gait_Index,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RK_0,RK_1,RK_2,RK_3,RK_4,RK_5,RK_6,RK_7,LK_0,LK_1,LK_2,LK_3,LK_4,LK_5,LK_6,LK_7,LH_0,LH_1,LH_2,LH_3,LH_4,LH_5,LH_6,LH_7
6910,60726562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6915,60737562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6920,60748562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6925,60759562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6930,60770562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6935,60781562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6940,60792562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6945,60803562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6950,60814562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6955,60825562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6960,60836562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6965,60847562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6970,60858562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6975,60869562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6980,60880562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6985,60891562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6990,60902562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6995,60913562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
7000,60924562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
finished control loop,restarting
